save path : experiments/cifar100_per_500_arch_preactresnet18_eph_300_lr_0.2_mblock_4_mbeta_0.32_mgamma_1.0_mthres_hard0.83_meta_0.05_m_alpha_2.0_mpart_20_niter_4_omega_0.001_set_clean_1.0_seed_0_test
{'arch': 'preactresnet18', 'batch_size': 100, 'clean_lam': 1.0, 'comix': True, 'data_dir': '~/Datasets/cifar100', 'dataset': 'cifar100', 'decay': 0.0001, 'dropout': False, 'epochs': 300, 'evaluate': False, 'gammas': [0.1, 0.1], 'initial_channels': 64, 'labels_per_class': 500, 'learning_rate': 0.2, 'log_off': False, 'm_beta': 0.32, 'm_block_num': 4, 'm_eta': 0.05, 'm_gamma': 1.0, 'm_niter': 4, 'm_omega': 0.001, 'm_part': 20, 'm_thres': 0.83, 'm_thres_type': 'hard', 'mixup_alpha': 2.0, 'momentum': 0.9, 'ngpu': 1, 'parallel': True, 'print_freq': 100, 'resume': '', 'root_dir': 'experiments', 'schedule': [100, 200], 'seed': 0, 'set_resolve': True, 'start_epoch': 0, 'tag': 'test', 'use_cuda': True, 'valid_labels_per_class': 0, 'workers': 2}
Random Seed: 0
python version : 3.7.6 (default, Jan  8 2020, 19:59:22)  [GCC 7.3.0]
torch  version : 1.7.0
cudnn  version : 7603
=> creating model 'preactresnet18'
=> do not use any checkpoint for preactresnet18 model

==>>[2020-10-12 04:53:43] [Epoch=000/300] [Need: 00:00:00] [learning_rate=0.2000] [Best : Accuracy=0.00, Error=100.00]
**Train** Prec@1 14.23 Prec@5 38.20 Error@1 85.77
**Test ** Prec@1 21.96 Prec@5 51.09 Error@1 78.04 Loss: 0.041 

==>>[2020-10-12 04:56:49] [Epoch=001/300] [Need: 15:13:54] [learning_rate=0.2000] [Best : Accuracy=21.96, Error=78.04]
**Train** Prec@1 29.81 Prec@5 61.90 Error@1 70.19
**Test ** Prec@1 34.48 Prec@5 68.64 Error@1 65.52 Loss: 0.033 

==>>[2020-10-12 04:59:45] [Epoch=002/300] [Need: 14:52:30] [learning_rate=0.2000] [Best : Accuracy=34.48, Error=65.52]
**Train** Prec@1 40.13 Prec@5 72.94 Error@1 59.87
**Test ** Prec@1 42.34 Prec@5 75.09 Error@1 57.66 Loss: 0.029 

==>>[2020-10-12 05:02:43] [Epoch=003/300] [Need: 14:46:25] [learning_rate=0.2000] [Best : Accuracy=42.34, Error=57.66]
**Train** Prec@1 47.14 Prec@5 79.43 Error@1 52.86
**Test ** Prec@1 48.94 Prec@5 80.34 Error@1 51.06 Loss: 0.026 

==>>[2020-10-12 05:05:40] [Epoch=004/300] [Need: 14:41:39] [learning_rate=0.2000] [Best : Accuracy=48.94, Error=51.06]
**Train** Prec@1 51.89 Prec@5 83.05 Error@1 48.11
**Test ** Prec@1 50.77 Prec@5 81.34 Error@1 49.23 Loss: 0.025 

==>>[2020-10-12 05:08:39] [Epoch=005/300] [Need: 14:38:45] [learning_rate=0.2000] [Best : Accuracy=50.77, Error=49.23]
**Train** Prec@1 55.46 Prec@5 85.48 Error@1 44.54
**Test ** Prec@1 50.11 Prec@5 81.40 Error@1 49.89 Loss: 0.026 

==>>[2020-10-12 05:11:37] [Epoch=006/300] [Need: 14:36:05] [learning_rate=0.2000] [Best : Accuracy=50.77, Error=49.23]
**Train** Prec@1 58.15 Prec@5 87.49 Error@1 41.85
